locale	tatoeba_lang	retrieved_utc	archive_sha256	archive_url	license	license_url
en	eng	2026-07-18T06:52:00Z	86dfa17528230f4bacd5d51108d0126548ad56f984dab4ad11262d8327ba7e6f	https://downloads.tatoeba.org/exports/per_language/eng/eng_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
id	ind	2026-07-18T06:52:00Z	bb69c9bb7b93f5495b9340e29d4ebb3ba792e92a3da2f899afb67b7ff7c8cc71	https://downloads.tatoeba.org/exports/per_language/ind/ind_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
es	spa	2026-07-18T06:52:00Z	1c966d212089a20f826c0d4b87cd302627bb939e4946eca2f2e10c4ae6c72058	https://downloads.tatoeba.org/exports/per_language/spa/spa_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
fr	fra	2026-07-18T06:52:00Z	ddf85e6d1e2e0cc682779b4fad3260ea207f8c7976577eb595975df10e1300cd	https://downloads.tatoeba.org/exports/per_language/fra/fra_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
pt-br	por	2026-07-18T06:52:00Z	93215bf85dfb972d0a537734de84a1345406b6a73fa85b3ccfb0e469b74b1871	https://downloads.tatoeba.org/exports/per_language/por/por_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
sw	swh	2026-07-18T06:52:00Z	9625be94a36d430366a9f82705e75bed93d93d7cf141254eab3b951bad9331c2	https://downloads.tatoeba.org/exports/per_language/swh/swh_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
de	deu	2026-07-18T06:52:00Z	1fa6c77c9d695039710c2ff1efe01e46c1ae80cef4b135b6a119b48326e116f4	https://downloads.tatoeba.org/exports/per_language/deu/deu_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
ru	rus	2026-07-18T06:52:00Z	ed9ab4d96b80ba2955a449731de19f333e1f1558f2c8d37767adcf204a0a5b7b	https://downloads.tatoeba.org/exports/per_language/rus/rus_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
zh	cmn	2026-07-18T06:52:00Z	4b49d40facbb83e331575f9407ce38882fce491660c6ebf8949c525b114a6ae8	https://downloads.tatoeba.org/exports/per_language/cmn/cmn_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
ja	jpn	2026-07-18T06:52:00Z	30c7a77475b0af1c43f57950303cf200e06045931cb7dae915954c5581c19a50	https://downloads.tatoeba.org/exports/per_language/jpn/jpn_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
ar	ara	2026-07-18T06:52:00Z	d58e778f4cc0a30bbf8db4f92b98824e1bcf7f1bfb9bf5d9d48ef727e23c6a25	https://downloads.tatoeba.org/exports/per_language/ara/ara_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
hi	hin	2026-07-18T06:52:00Z	24088064bca54508cd886ec9694f645b40885cb35a0e2361f7bb2bce71d1af09	https://downloads.tatoeba.org/exports/per_language/hin/hin_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
tr	tur	2026-07-18T06:52:00Z	d062d36375c7da89b8a7d0656d072bb3ff1a2302bc7c40aadfa178f2ebb6437b	https://downloads.tatoeba.org/exports/per_language/tur/tur_sentences_detailed.tsv.bz2	CC-BY-2.0-FR	https://creativecommons.org/licenses/by/2.0/fr/
