locale	language	category	source_line	dataset_contributors	published	license	dataset_doi	file_uuid	human_source_state	source_row_sha256	canonical_sha256	text
sw	swh	BUNGE	1	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	00a20207f49b8e08c6894e0eb55b70d0995eaaa03c5a518ba6ca14d924c48a7e	00a20207f49b8e08c6894e0eb55b70d0995eaaa03c5a518ba6ca14d924c48a7e	jamuhuri ya muungano wa tanzania bunge la tanzania taarifa ya shughuli za kamati ya kudumu ya bunge ya katiba na sheria kwa kipindi cha januari hadi januari inatolewa chini ya kanuni ya ya kanuni za kudumu za bunge toleo la januari ofisi ya bunge s
sw	swh	BUNGE	2	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	579d06f33bce3e3f2d72c11f0d0e97cefe380e0b935479a3c8e7e5be0dcf8df1	434a91cc4c58b399027f6d87f60a50ceb3da95da318622b1de321710009224fd	dodoma yaliyomo sehemu ya kwanza maelezo ya jumla
sw	swh	BUNGE	7	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	5b74babfbb5fd9b404afaa36355bb9cfdfe23d5769798d1d47d7ff202954e0e3	23511d1272236fe35133cfb3683a5fc1ad35eff46f3c128e077c2c1c15ea9c3f	kutembelea na kukagua utekekelezaji wa miradi ya maendeleo
sw	swh	BUNGE	8	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	aa6a4511d23cce1e6888860c00728bae61c12788f7009fe2a1780090fd0ab6c7	66c00f3804960038c600a85592c63d616386e99ef66267d4cd0192ab1951807f	kuchambua miswada ya sher ia na mikataba ya kimataifa inayopendekezwa kuridhiwa na bunge iliyo chini ya wizara inazozisimamia
sw	swh	BUNGE	9	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	f450ced8b638c87377ccde7c9bd4d96e0a79b2f8572c4548d6081b72fc6fd04a	f168be527da919af34723f67512061ead65bfa5739b05963ee7af0475a5fabfd	kupokea na kujadili taarifa za utekelezaji za wizara
sw	swh	BUNGE	10	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	a3896d0100d15a1fa4379e872230d99d4405d190c56777ad56299dd8c4804694	6535f5d04a26c45ab5c4fbd7c26086bb0cfe27216034b3fa48091d2defc30979	kuchambua taarifa za wizara kuhusu utekelezaji wa bajeti kwa mwaka wa fedha na makadirio ya mapato na matumizi kwa mwaka wa fedha
sw	swh	BUNGE	12	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	9a74ebddccd674b8abcaf0c2dbbefac1c423307f34735dda63775d76162b1341	a0d085db631b2aac0913eed2e42b194b6e072de0bac24d1b9badf4cf31b7fd7d	uchambuzi wa matokeo ya utekelezaji wa majukumu ya kamati
sw	swh	BUNGE	15	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	89080efa126a3ba5a2063cd2bf11bed52d116ca3b1b358886a6466ef03535989	9decc625207a6a863c9e600f6272e345c3aac68a98fd7b53e0ae2b97dce8e937	ushiriki wa wadau katika utungwaji wa sheria
sw	swh	BUNGE	16	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	5e77cdfaaea80d8a2fc7e40d68265664809f2f2f0637f3659302777f82a5cd8d	cc58c42682afe4d02080d1f41d7241537bf828897c360e517ca09a5560be7ddb	upatikanaji wa fedha kwa ajili ya utekelezaji wa miradi ya maendeleo
sw	swh	BUNGE	17	Noel Masasi; Bernard Masua	2024-01-24	CC-BY-4.0	https://doi.org/10.17632/d4yhn5b9n6.2	6f043d7d-02ae-4de4-a7a1-5e43bddbe19f	official-source-document-extracted; individual-author-not-retained	a55e1379fb8f2b9285c3c6d420844d65f0c709716780669749609faaf0bddb0d	f170fcccd8857ff30afa3adcced06ec1d70199c80c597dc1f9a23f34dfc0057e	ufinyu wa muda wa kamati kutembelea na kukagua miradi ya maendeleo
