family	language	upstream	commit	upstream_path	local_file	license	sha256	bytes
binary-search	python	https://github.com/exercism/python	250bf19050543da09e122211fc7430fe6f44c564	exercises/practice/binary-search/.meta/example.py	binary-search/python.py	MIT Exercism 2021	52016821fdea677eeb485f2f16b691a148ea005abf5631e5611c507044c9e62b	356
binary-search	javascript	https://github.com/exercism/javascript	295540983b6323edcfd457b3163ad6c63608f2da	exercises/practice/binary-search/.meta/proof.ci.js	binary-search/javascript.js	MIT Exercism 2021	d960ec1206e35686ece90523d8951c94bc02afef81e8b9cd1fa687bffea6b4d3	418
binary-search	typescript	https://github.com/exercism/typescript	0822e65205ec08a4fa53360f4e52a914d2caf1fa	exercises/practice/binary-search/.meta/proof.ci.ts	binary-search/typescript.ts	MIT Exercism 2021	e79e989039981ac63e5b7e8635e7c42a8ca2208522f6208fb811deb4226863c9	450
binary-search	java	https://github.com/exercism/java	d8e92d5ba47a37afb6f10f1d9e1117b72c1656d5	exercises/practice/binary-search/.meta/src/reference/java/BinarySearch.java	binary-search/java.java	MIT Exercism 2021	b269dd6e5b779163584de891a8d618d1428457c0e515d95ef31254d3e017da33	965
binary-search	c	https://github.com/exercism/c	2fb6107548efb29d21c792fda9b21762f5b223f2	exercises/practice/binary-search/.meta/example.c	binary-search/c.c	MIT Exercism 2021	04320fc4367535a04e7afb4340e213d36f06f033b2edcbe35ae40793bc76dde2	481
binary-search	cpp	https://github.com/exercism/cpp	d2babb2bd750c884abf86ce52dde274ae7de9749	exercises/practice/binary-search/.meta/example.cpp	binary-search/cpp.cpp	MIT Exercism 2021	e884ecc64e6269ac673645a40435090771f9b43a4dcb981adbd1a348de40baab	870
binary-search	csharp	https://github.com/exercism/csharp	196a175a409c3df052f877f59dec1ab86844aeb0	exercises/practice/binary-search/.meta/Example.cs	binary-search/csharp.cs	MIT Exercism 2021	e537557b3ca606e9998c46c49218322e8214a72c62a76725f4f3234191eee0ed	752
binary-search	go	https://github.com/exercism/go	f6c0bf28b8081383034acab94c5a240c66914204	exercises/practice/binary-search/.meta/example.go	binary-search/go.go	MIT Exercism 2021	13f936d6330fbb3b9a024b52a000589d7365f2043ba2cf3325f4bcbebe43bbcd	327
binary-search	rust	https://github.com/exercism/rust	faba7937639a6888f5447e834fa3bc7846a5a9a8	exercises/practice/binary-search/.meta/example.rs	binary-search/rust.rs	MIT Exercism 2021	8e6da6b4d3e09515dfc063882ac851b1b85d59ab82a9fc04c50c6a307acf50cf	638
binary-search	ruby	https://github.com/exercism/ruby	49a3ad0fc4003c97710eda0b7ec439a33c213bd4	exercises/practice/binary-search/.meta/example.rb	binary-search/ruby.rb	MIT Exercism 2021	4273ffbb475efe5a4811b75376ff4b32512fe8a1bffaf262cbb89dafda7bc221	583
