13..15 fkwu_win_read
16..18 fkwu_win_write
19..21 arc4random
28..31 dlopen
32..34 dlsym
35..37 dlclose
67..75 fk_die
140..149 fk_sysctl_ll
150..150 fk_u64_words
246..255 fk_host_cpu_busy_us
256..263 fk_gpu_step
392..394 fk_is_nothing
424..426 fk_fnval
427..429 fk_fnval_idx
430..448 fk_is_fnval
452..458 fk_fnval_target
459..461 fk_fnval_is_closure
471..486 fk_clo_reserve
487..501 fk_clo_capvals_reserve
505..521 fk_clo_make
531..533 fk_fidx
534..540 fk_isf
553..560 fk_num
575..600 fk_fbox
601..621 fk_pr
656..713 fk_fmt_float_js
718..739 fk_pv
760..782 fk_mem_reserve
796..817 fk_vs_grow
858..885 fk_sinit
890..899 fk_str_hash
900..954 fk_sintern
989..991 fk_strv
992..1001 fk_is_str
1002..1007 fk_stri
1008..1018 fk_put_str
1027..1029 fk_nbox
1043..1046 fk_nidx
1048..1088 fk_neq
1104..1116 fk_movable
1117..1143 fk_veq
1164..1169 fk_mix64
1171..1194 fk_deep_hash_node
1195..1223 fk_deep_hash
1224..1230 fk_intern_key_trivial
1364..1391 fk_read_all_bounded
1403..1419 fk_conf_reserve
1421..1444 fk_conf_pool_put
1447..1496 fk_conf_load
1500..1515 fk_conf
1530..1569 fk_record_reserve
1573..1588 fk_record_keys_reserve
1589..1591 fk_rbox
1592..1597 fk_ridx
1598..1601 fk_isrec
1614..1626 fk_mth_ensure
1627..1638 fk_bp_ideq
1639..1648 fk_mth_find
1649..1655 fk_cstrlen
1656..1671 fk_cstr
1677..1691 fk_cstr_heap
1698..1702 fk_sb_check
1703..1719 fk_sbuf
1775..1781 fk_metal_dyn_sym
1782..1825 fk_metal_dyn_try_path
1826..1863 fk_metal_dyn_default_path
1864..1882 fk_metal_dyn_load
1883..1892 fk_metal_status_append
1893..1903 fk_metal_status_absent
1904..1909 fk_host_gpu_utilization
1910..1919 fk_host_disk_stat
1920..1925 fk_metal_matvec_fixture_external
1926..1934 fk_metal_matvec_f32_external
1939..1949 fk_metal_live_external
1950..1956 fk_metal_pipeline_external
1957..1962 fk_metal_buf_alloc_external
1963..1969 fk_metal_buf_from_file_external
1970..1976 fk_metal_buf_write_external
1977..1983 fk_metal_enqueue_external
1984..1989 fk_metal_sync_external
1990..1996 fk_metal_buf_read_external
1997..2002 fk_metal_status_external
2003..2008 fk_metal_batch_concurrent_external
2009..2014 fk_metal_buf_free_external
2015..2020 fk_metal_submit_external
2021..2026 fk_metal_fence_wait_external
2027..2032 fk_metal_deadline_external
2033..2043 fk_srange
2045..2061 fk_metal_matvec_fixture_native
2063..2091 fk_metal_matvec_f32_native
2097..2110 fk_metal_pipeline_native
2111..2117 fk_metal_buf_alloc_native
2118..2129 fk_metal_buf_from_file_native
2130..2141 fk_metal_buf_write_native
2142..2153 fk_metal_enqueue_native
2154..2160 fk_metal_sync_native
2164..2187 fk_metal_buf_read_native
2188..2194 fk_metal_batch_concurrent_native
2195..2201 fk_metal_buf_free_native
2202..2208 fk_metal_submit_native
2209..2215 fk_metal_fence_wait_native
2219..2225 fk_metal_deadline_native
2227..2242 fk_metal_status_native
2279..2281 fk_mic_count
2282..2288 fk_mic_name
2289..2307 fk_mic_health
2308..2316 fk_cam_count
2317..2324 fk_cam_name
2338..2350 fk_cam_probe_run
2351..2377 fk_cam_health
2378..2403 fk_cam_grab
2423..2496 fk_mic_capture
2538..2540 fk_vt
2541..2545 fk_com_release
2554..2711 fk_cam_luma_run
2712..2759 fk_cam_luma
2773..2895 fk_audio_loopback
2902..3122 fk_wav_loopback
3171..3194 fk_aq_load
3200..3210 fk_asbd_rate
3211..3213 fk_asbd_16k
3226..3240 fk_mic_incb
3241..3270 fk_mic_stream_start
3274..3309 fk_mic_stream_read
3310..3318 fk_mic_stream_stop
3323..3328 fk_spk_outcb
3329..3368 fk_spk_play
3401..3411 fk_spk_streamcb
3412..3414 fk_spk_present
3415..3420 fk_spk_name
3421..3423 fk_spk_health
3424..3427 fk_spk_say
3428..3452 fk_spk_stream_start
3455..3502 fk_spk_stream_write
3503..3531 fk_spk_stream_stop
3532..3534 fk_mic_count
3535..3540 fk_mic_name
3541..3543 fk_mic_health
3544..3546 fk_cam_count
3547..3550 fk_cam_name
3551..3554 fk_cam_health
3555..3559 fk_cam_grab
3561..3606 fk_mic_capture
3607..3610 fk_cam_luma
3611..3614 fk_audio_loopback
3619..3732 fk_wav_loopback
3734..3736 fk_mic_count
3737..3740 fk_mic_name
3741..3744 fk_mic_health
3745..3747 fk_cam_count
3748..3751 fk_cam_name
3752..3755 fk_cam_health
3756..3760 fk_cam_grab
3761..3764 fk_mic_capture
3765..3768 fk_cam_luma
3769..3772 fk_audio_loopback
3773..3777 fk_wav_loopback
3780..3782 fk_mic_stream_start
3783..3787 fk_mic_stream_read
3788..3790 fk_mic_stream_stop
3793..3795 fk_spk_present
3796..3799 fk_spk_name
3800..3803 fk_spk_health
3804..3809 fk_spk_say
