174..181 fk_emit
183..191 fk_metal_up
193..208 fk_metal_matvec_fixture_external
210..333 fk_metal_matvec_f32_external
427..427 fk_err
432..463 fk_buf_tables_reserve
465..492 fk_pipe_table_reserve
528..532 fk_work_outstanding
534..542 fk_wait_frame_name
547..554 fk_arm
558..581 fk_wait_observed
583..586 fk_shelve
591..613 fk_shelf_settle
617..621 fk_metal_deadline_external
623..626 fk_le32
633..641 fk_buf_slot
642..646 fk_buf_at
648..791 fk_metal_pipeline_external
793..823 fk_buf_register
825..837 fk_metal_buf_alloc_external
844..920 fk_metal_buf_from_file_external
922..953 fk_metal_buf_write_external
959..1117 fk_metal_enqueue_external
1122..1190 fk_metal_sync_external
1196..1216 fk_metal_buf_read_external
1218..1233 fk_metal_batch_concurrent_external
1235..1272 fk_metal_buf_free_external
1274..1310 fk_metal_submit_external
1312..1342 fk_metal_fence_wait_external
1347..1405 fk_metal_status_external
1412..1444 fk_host_gpu_utilization
1449..1486 fk_host_disk_stat
1494..1524 fk_metal_live_external
